[2024-11-10 15:41:20.115]	 Already installed "tmux-cpu"
[2024-11-10 15:41:20.162]	 Invoking /home/adophilus/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-11-10 15:41:20.199]	 Updating all plugins!
[2024-11-10 15:41:20.199]	 
[2024-11-10 15:41:21.647]	   "tmux-cpu" update success
[2024-11-10 15:41:21.647]	   "tmux-copycat" update success
[2024-11-10 15:41:21.647]	   "tmux-power" update success
[2024-11-10 15:41:21.656]	     | Already up to date.
[2024-11-10 15:41:21.656]	     | Already up to date.
[2024-11-10 15:41:21.656]	     | Already up to date.
[2024-11-10 15:41:21.695]	 Invoking /home/adophilus/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-11-10 15:41:21.783]	 Done.

[2024-11-10 19:54:17.068]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-cpu wfxr/tmux-power
[2024-11-10 19:54:17.084]	 Invoking /home/adophilus/.config/tmux/plugins/tpm/bin/install_plugins
[2024-11-10 19:54:19.518]	 Already installed "tmux-copycat"
[2024-11-10 19:54:19.519]	 Already installed "tmux-power"
[2024-11-10 19:54:19.519]	 Already installed "tmux-cpu"
[2024-11-10 19:54:19.547]	 Invoking /home/adophilus/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-11-10 19:54:19.580]	 Updating all plugins!
[2024-11-10 19:54:19.581]	 
[2024-11-10 19:54:21.987]	   "tmux-copycat" update success
[2024-11-10 19:54:21.994]	     | Already up to date.
[2024-11-10 19:54:23.433]	   "tmux-cpu" update success
[2024-11-10 19:54:23.436]	     | Already up to date.
[2024-11-10 19:54:24.148]	   "tmux-power" update success
[2024-11-10 19:54:24.153]	     | Already up to date.
[2024-11-10 19:54:24.178]	 Invoking /home/adophilus/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-11-10 19:54:24.245]	 Done.

[2024-11-11 09:46:24.163]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-cpu wfxr/tmux-power
[2024-11-11 09:46:24.179]	 Invoking /home/adophilus/.config/tmux/plugins/tpm/bin/install_plugins
[2024-11-11 09:46:24.227]	 Already installed "tmux-cpu"
[2024-11-11 09:46:24.227]	 Already installed "tmux-copycat"
[2024-11-11 09:46:24.227]	 Already installed "tmux-power"
[2024-11-11 09:46:24.242]	 Invoking /home/adophilus/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-11-11 09:46:24.268]	 Updating all plugins!
[2024-11-11 09:46:24.268]	 
[2024-11-11 09:46:25.374]	   "tmux-power" update success
[2024-11-11 09:46:25.374]	   "tmux-cpu" update success
[2024-11-11 09:46:25.377]	     | Already up to date.
[2024-11-11 09:46:25.377]	     | Already up to date.
[2024-11-11 09:46:25.388]	   "tmux-copycat" update success
[2024-11-11 09:46:25.391]	     | Already up to date.
[2024-11-11 09:46:25.408]	 Invoking /home/adophilus/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-11-11 09:46:25.470]	 Done.

[2024-11-11 14:45:54.668]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-cpu wfxr/tmux-power
[2024-11-11 14:45:54.686]	 Invoking /home/adophilus/.config/tmux/plugins/tpm/bin/install_plugins
[2024-11-11 14:45:54.745]	 Already installed "tmux-cpu"
[2024-11-11 14:45:54.745]	 Already installed "tmux-copycat"
[2024-11-11 14:45:54.745]	 Already installed "tmux-power"
[2024-11-11 14:45:54.764]	 Invoking /home/adophilus/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-11-11 14:45:54.790]	 Updating all plugins!
[2024-11-11 14:45:54.790]	 
[2024-11-11 14:45:56.223]	   "tmux-cpu" update success
[2024-11-11 14:45:56.229]	     | Already up to date.
[2024-11-11 14:45:56.281]	   "tmux-copycat" update success
[2024-11-11 14:45:56.286]	     | Already up to date.
[2024-11-11 14:46:00.547]	   "tmux-power" update success
[2024-11-11 14:46:00.552]	     | Already up to date.
[2024-11-11 14:46:00.569]	 Invoking /home/adophilus/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-11-11 14:46:00.644]	 Done.

[2024-11-12 13:23:20.744]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-cpu wfxr/tmux-power
[2024-11-12 13:23:20.773]	 Invoking /home/adophilus/.config/tmux/plugins/tpm/bin/install_plugins
[2024-11-12 13:23:20.834]	 Already installed "tmux-cpu"
[2024-11-12 13:23:20.834]	 Already installed "tmux-copycat"
[2024-11-12 13:23:20.834]	 Already installed "tmux-power"
[2024-11-12 13:23:20.852]	 Invoking /home/adophilus/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-11-12 13:23:20.881]	 Updating all plugins!
